year,mes,cantidad-semanas,semana1-inicio,semana1-fin,semana2-inicio,semana2-fin,semana3-inicio,semana3-fin,semana4-inicio,semana4-fin,semana5-inicio,semana5-fin,semana6-inicio,semana6-fin,semana7-inicio,semana7-fin
2020,enero,5,1,5,6,12,13,19,20,26,27,31,,,,
2020,febrero,5,1,2,3,9,10,16,17,23,24,29,,,,
2020,marzo,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2020,abril,5,1,5,6,12,13,19,20,26,27,30,,,,
2020,mayo,5,1,3,4,10,11,17,18,24,25,31,,,,
2020,junio,5,1,7,8,14,15,21,22,28,29,30,,,,
2020,julio,5,1,5,6,12,13,19,20,26,27,31,,,,
2020,agosto,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2020,septiembre,5,1,6,7,13,14,20,21,27,28,30,,,,
2020,octubre,5,1,4,5,11,12,18,19,25,26,31,,,,
2020,noviembre,6,1,1,2,8,9,15,16,22,23,29,30,30,,
2020,diciembre,5,1,6,7,13,14,20,21,27,28,31,,,,
2021,enero,5,1,3,4,10,11,17,18,24,25,31,,,,
2021,febrero,4,1,7,8,14,15,21,22,28,,,,,,
2021,marzo,5,1,7,8,14,15,21,22,28,29,31,,,,
2021,abril,5,1,4,5,11,12,18,19,25,26,30,,,,
2021,mayo,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2021,junio,5,1,6,7,13,14,20,21,27,28,30,,,,
2021,julio,5,1,4,5,11,12,18,19,25,26,31,,,,
2021,agosto,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2021,septiembre,5,1,5,6,12,13,19,20,26,27,30,,,,
2021,octubre,5,1,3,4,10,11,17,18,24,25,31,,,,
2021,noviembre,5,1,7,8,14,15,21,22,28,29,30,,,,
2021,diciembre,5,1,5,6,12,13,19,20,26,27,31,,,,
2022,enero,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2022,febrero,5,1,6,7,13,14,20,21,27,28,28,,,,
2022,marzo,5,1,6,7,13,14,20,21,27,28,31,,,,
2022,abril,5,1,3,4,10,11,17,18,24,25,30,,,,
2022,mayo,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2022,junio,5,1,5,6,12,13,19,20,26,27,30,,,,
2022,julio,5,1,3,4,10,11,17,18,24,25,31,,,,
2022,agosto,5,1,7,8,14,15,21,22,28,29,31,,,,
2022,septiembre,5,1,4,5,11,12,18,19,25,26,30,,,,
2022,octubre,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2022,noviembre,5,1,6,7,13,14,20,21,27,28,30,,,,
2022,diciembre,5,1,4,5,11,12,18,19,25,26,31,,,,
2023,enero,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2023,febrero,5,1,5,6,12,13,19,20,26,27,28,,,,
2023,marzo,5,1,5,6,12,13,19,20,26,27,31,,,,
2023,abril,5,1,2,3,9,10,16,17,23,24,30,,,,
2023,mayo,5,1,7,8,14,15,21,22,28,29,31,,,,
2023,junio,5,1,4,5,11,12,18,19,25,26,30,,,,
2023,julio,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2023,agosto,5,1,6,7,13,14,20,21,27,28,31,,,,
2023,septiembre,5,1,3,4,10,11,17,18,24,25,30,,,,
2023,octubre,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2023,noviembre,5,1,5,6,12,13,19,20,26,27,30,,,,
2023,diciembre,5,1,3,4,10,11,17,18,24,25,31,,,,
2024,enero,5,1,7,8,14,15,21,22,28,29,31,,,,
2024,febrero,5,1,4,5,11,12,18,19,25,26,29,,,,
2024,marzo,5,1,3,4,10,11,17,18,24,25,31,,,,
2024,abril,5,1,7,8,14,15,21,22,28,29,30,,,,
2024,mayo,5,1,5,6,12,13,19,20,26,27,31,,,,
2024,junio,5,1,2,3,9,10,16,17,23,24,30,,,,
2024,julio,5,1,7,8,14,15,21,22,28,29,31,,,,
2024,agosto,5,1,4,5,11,12,18,19,25,26,31,,,,
2024,septiembre,6,1,1,2,8,9,15,16,22,23,29,30,30,,
2024,octubre,5,1,6,7,13,14,20,21,27,28,31,,,,
2024,noviembre,5,1,3,4,10,11,17,18,24,25,30,,,,
2024,diciembre,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2025,enero,5,1,5,6,12,13,19,20,26,27,31,,,,
2025,febrero,5,1,2,3,9,10,16,17,23,24,28,,,,
2025,marzo,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2025,abril,5,1,6,7,13,14,20,21,27,28,30,,,,
2025,mayo,5,1,4,5,11,12,18,19,25,26,31,,,,
2025,junio,6,1,1,2,8,9,15,16,22,23,29,30,30,,
2025,julio,5,1,6,7,13,14,20,21,27,28,31,,,,
2025,agosto,5,1,3,4,10,11,17,18,24,25,31,,,,
2025,septiembre,5,1,7,8,14,15,21,22,28,29,30,,,,
2025,octubre,5,1,5,6,12,13,19,20,26,27,31,,,,
2025,noviembre,5,1,2,3,9,10,16,17,23,24,30,,,,
2025,diciembre,5,1,7,8,14,15,21,22,28,29,31,,,,
2026,enero,5,1,4,5,11,12,18,19,25,26,31,,,,
2026,febrero,5,1,1,2,8,9,15,16,22,23,28,,,,
2026,marzo,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2026,abril,5,1,5,6,12,13,19,20,26,27,30,,,,
2026,mayo,5,1,3,4,10,11,17,18,24,25,31,,,,
2026,junio,5,1,7,8,14,15,21,22,28,29,30,,,,
2026,julio,5,1,5,6,12,13,19,20,26,27,31,,,,
2026,agosto,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2026,septiembre,5,1,6,7,13,14,20,21,27,28,30,,,,
2026,octubre,5,1,4,5,11,12,18,19,25,26,31,,,,
2026,noviembre,6,1,1,2,8,9,15,16,22,23,29,30,30,,
2026,diciembre,5,1,6,7,13,14,20,21,27,28,31,,,,
2027,enero,5,1,3,4,10,11,17,18,24,25,31,,,,
2027,febrero,4,1,7,8,14,15,21,22,28,,,,,,
2027,marzo,5,1,7,8,14,15,21,22,28,29,31,,,,
2027,abril,5,1,4,5,11,12,18,19,25,26,30,,,,
2027,mayo,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2027,junio,5,1,6,7,13,14,20,21,27,28,30,,,,
2027,julio,5,1,4,5,11,12,18,19,25,26,31,,,,
2027,agosto,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2027,septiembre,5,1,5,6,12,13,19,20,26,27,30,,,,
2027,octubre,5,1,3,4,10,11,17,18,24,25,31,,,,
2027,noviembre,5,1,7,8,14,15,21,22,28,29,30,,,,
2027,diciembre,5,1,5,6,12,13,19,20,26,27,31,,,,
2028,enero,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2028,febrero,5,1,6,7,13,14,20,21,27,28,29,,,,
2028,marzo,5,1,5,6,12,13,19,20,26,27,31,,,,
2028,abril,5,1,2,3,9,10,16,17,23,24,30,,,,
2028,mayo,5,1,7,8,14,15,21,22,28,29,31,,,,
2028,junio,5,1,4,5,11,12,18,19,25,26,30,,,,
2028,julio,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2028,agosto,5,1,6,7,13,14,20,21,27,28,31,,,,
2028,septiembre,5,1,3,4,10,11,17,18,24,25,30,,,,
2028,octubre,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2028,noviembre,5,1,5,6,12,13,19,20,26,27,30,,,,
2028,diciembre,5,1,3,4,10,11,17,18,24,25,31,,,,
2029,enero,5,1,7,8,14,15,21,22,28,29,31,,,,
2029,febrero,5,1,4,5,11,12,18,19,25,26,28,,,,
2029,marzo,5,1,4,5,11,12,18,19,25,26,31,,,,
2029,abril,6,1,1,2,8,9,15,16,22,23,29,30,30,,
2029,mayo,5,1,6,7,13,14,20,21,27,28,31,,,,
2029,junio,5,1,3,4,10,11,17,18,24,25,30,,,,
2029,julio,6,1,1,2,8,9,15,16,22,23,29,30,31,,
2029,agosto,5,1,5,6,12,13,19,20,26,27,31,,,,
2029,septiembre,5,1,2,3,9,10,16,17,23,24,30,,,,
2029,octubre,5,1,7,8,14,15,21,22,28,29,31,,,,
2029,noviembre,5,1,4,5,11,12,18,19,25,26,30,,,,
2029,diciembre,6,1,2,3,9,10,16,17,23,24,30,31,31,,
2030,enero,5,1,6,7,13,14,20,21,27,28,31,,,,
2030,febrero,5,1,3,4,10,11,17,18,24,25,28,,,,
2030,marzo,5,1,3,4,10,11,17,18,24,25,31,,,,
2030,abril,5,1,7,8,14,15,21,22,28,29,30,,,,
2030,mayo,5,1,5,6,12,13,19,20,26,27,31,,,,
2030,junio,5,1,2,3,9,10,16,17,23,24,30,,,,
2030,julio,5,1,7,8,14,15,21,22,28,29,31,,,,
2030,agosto,5,1,4,5,11,12,18,19,25,26,31,,,,
2030,septiembre,6,1,1,2,8,9,15,16,22,23,29,30,30,,
2030,octubre,5,1,6,7,13,14,20,21,27,28,31,,,,
2030,noviembre,5,1,3,4,10,11,17,18,24,25,30,,,,
2030,diciembre,6,1,1,2,8,9,15,16,22,23,29,30,31,,
